file_id,workspace_id,channel_id,message_id,uploader_id,purpose,file_name,mime,size_bytes,url,pinned,deleted,replaced_from,created_at,updated_at
f_b425d132,sprachschule-duisburg,learning-materials,m3k4md9xu,uyshv0srx,material,"Linie Neu B1.2.pdf",application/pdf,55732977,/uploads/1775332093584-4f1f56b25c6f0e8f5cc20147.pdf,0,0,,"2026-04-04 19:48:14","2026-04-04 19:48:14"
f_fec4556c,sprachschule-duisburg,learning-materials,m3k4md9xu,uyshv0srx,material,"Menschen B1.1 Kursbuch.pdf",application/pdf,16198588,/uploads/1775332093672-fcd2240b4f29f0397f4d25d0.pdf,0,0,,"2026-04-04 19:48:14","2026-04-04 19:48:14"
f_591b4307,sprachschule-duisburg,learning-materials,m3k4md9xu,uyshv0srx,material,"Menschen B1.2 Kursbuch.pdf",application/pdf,16731405,/uploads/1775332093699-7d0fd25ddca09deae12ca5ab.pdf,0,0,,"2026-04-04 19:48:14","2026-04-04 19:48:14"
f_9fc15c6b,sprachschule-duisburg,learning-materials,m3k4md9xu,uyshv0srx,material,"Netzwerk Neu B1 Intensivtrainer.pdf",application/pdf,23326454,/uploads/1775332093728-c413df1f8d720d846cc520be.pdf,0,0,,"2026-04-04 19:48:14","2026-04-04 19:48:14"
f_2f2150da,sprachschule-duisburg,learning-materials,m3k4md9xu,uyshv0srx,material,"Netzwerk Neu B1 Testheft.pdf",application/pdf,5543097,/uploads/1775332093766-900fc074ecf56f362ee42546.pdf,0,0,,"2026-04-04 19:48:14","2026-04-04 19:48:14"
f_aefe63f7,sprachschule-duisburg,learning-materials,m3k4md9xu,uyshv0srx,material,"Netzwerk Neu B1 UÌbungsbuch.pdf",application/pdf,9230594,/uploads/1775332093777-02f61655116f49461d553f02.pdf,0,0,,"2026-04-04 19:48:14","2026-04-04 19:48:14"
f_3a299ce6,sprachschule-duisburg,learning-materials,m3k4md9xu,uyshv0srx,material,"Netzwerk Neu B1.pdf",application/pdf,45036568,/uploads/1775332093793-a009940d742c2ffb6b8d3fa0.pdf,0,0,,"2026-04-04 19:48:14","2026-04-04 19:48:14"
f_defcdc93,sprachschule-duisburg,learning-materials,m3k4md9xu,uyshv0srx,material,"Panorama B1.pdf",application/pdf,15538622,/uploads/1775332093875-4688b9067a125ca9574b60bf.pdf,0,0,,"2026-04-04 19:48:14","2026-04-04 19:48:14"
f_ddbd0f39,sprachschule-duisburg,learning-materials,m3k4md9xu,uyshv0srx,material,"Redemittels B1 Alle.pdf",application/pdf,4550205,/uploads/1775332093899-d1207e58c094a53dbba7de4a.pdf,0,0,,"2026-04-04 19:48:14","2026-04-04 19:48:14"
f_4b2b94b1,sprachschule-duisburg,learning-materials,m3k4md9xu,uyshv0srx,material,"Schritte Plus Neu B1 Intensivtrainer.pdf",application/pdf,12938501,/uploads/1775332093908-dc165bfc0e433296ea23baad.pdf,0,0,,"2026-04-04 19:48:14","2026-04-04 19:48:14"
f_948a1586,sprachschule-duisburg,learning-materials,m3k4md9xu,uyshv0srx,material,"Schritte Plus Neu B1.1.pdf",application/pdf,31564863,/uploads/1775332093927-43c4a369b891d00aed88974d.pdf,0,0,,"2026-04-04 19:48:14","2026-04-04 19:48:14"
f_42fe972,sprachschule-duisburg,learning-materials,m3k4md9xu,uyshv0srx,material,"Schritte plus neu B1.2.pdf",application/pdf,31913415,/uploads/1775332093990-6b2fb35b4ad8b3c0f71a81ed.pdf,0,0,,"2026-04-04 19:48:14","2026-04-04 19:48:14"
f_e5860489,sprachschule-duisburg,learning-materials,m3k4md9xu,uyshv0srx,material,"SICHER B1+ Kursbuch.pdf",application/pdf,28294510,/uploads/1775332094052-0ec1c5a30b690c94fd041848.pdf,0,0,,"2026-04-04 19:48:14","2026-04-04 19:48:14"
f_c3546ea1,sprachschule-duisburg,learning-materials,m3k4md9xu,uyshv0srx,material,"Spektrum B1+.pdf",application/pdf,52276278,/uploads/1775332094092-3c40bd5e0c689562c0e8a401.pdf,0,0,,"2026-04-04 19:48:14","2026-04-04 19:48:14"
f_abcd2149,sprachschule-duisburg,learning-materials,m3k4md9xu,uyshv0srx,material,"Sprechtraining B1.pdf",application/pdf,16153436,/uploads/1775332094194-84e28b61eec3adadf1cc69be.pdf,0,0,,"2026-04-04 19:48:14","2026-04-04 19:48:14"
f_155b1fa5,sprachschule-duisburg,learning-materials,m3k4md9xu,uyshv0srx,material,Studio_[21]_B1.pdf,application/pdf,72922769,/uploads/1775332094217-36b0d1b7f9c56066f1e11926.pdf,0,0,,"2026-04-04 19:48:14","2026-04-04 19:48:14"
f_ec989d5d,sprachschule-duisburg,learning-materials,m3k4md9xu,uyshv0srx,material,"Telc Einfach Gut B1.1.pdf",application/pdf,48191223,/uploads/1775332094462-7ab6ad89c7ea04e10e8c58c3.pdf,0,0,,"2026-04-04 19:48:14","2026-04-04 19:48:14"
f_b27e4dc6,sprachschule-duisburg,learning-materials,m3k4md9xu,uyshv0srx,material,"Telc Einfach Gut B1.2.pdf",application/pdf,46584880,/uploads/1775332094561-ee08e8fd0f8280fcce6e1229.pdf,0,0,,"2026-04-04 19:48:14","2026-04-04 19:48:14"
f_28415d37,sprachschule-duisburg,learning-materials,m3k4md9xu,uyshv0srx,material,"Treffpunkt Dialog _ Sprechtraining A1, A2, B1, B2 -- Ludwig Hoffmann -- Berliner Platz NEU, 2014 -- Delta Publishing by Klett_ ein Label von Ernst -- 9783126071253 -- b8eaa67e251146cf251485e35af82426 -- Anna_s Archive.pdf",application/pdf,63547986,/uploads/1775332094632-ac5dd09f0b0dc4c748d564af.pdf,0,0,,"2026-04-04 19:48:14","2026-04-04 19:48:14"
f_875977f0,sprachschule-duisburg,learning-materials,m3k4md9xu,uyshv0srx,material,"Vielfalt B1+.pdf",application/pdf,47944855,/uploads/1775332094740-9878c9735c553f450a4ed002.pdf,0,0,,"2026-04-04 19:48:14","2026-04-04 19:48:14"
f_55e05c7f,sprachschule-duisburg,learning-materials,m7v8yiwsq,uyshv0srx,material,"Module B1 Testbuch.pdf",application/pdf,91123609,/uploads/1775332149549-dcdfa7376bfda69e948febb4.pdf,0,0,,"2026-04-04 19:49:10","2026-04-04 19:49:10"
f_a9928fe3,sprachschule-duisburg,learning-materials,m7v8yiwsq,uyshv0srx,material,"Module-b1-loÌsungen-und-transkriptionen.pdf",application/pdf,23454680,/uploads/1775332149740-2be30b98013fbba233ddbb62.pdf,0,0,,"2026-04-04 19:49:10","2026-04-04 19:49:10"
f_2f5d5bcc,sprachschule-duisburg,learning-materials,m7v8yiwsq,uyshv0srx,material,Netwerk-Neu-B1-Ubungsbuch.pdf,application/pdf,45545130,/uploads/1775332149786-94d7ffd0206693386e692d1a.pdf,0,0,,"2026-04-04 19:49:10","2026-04-04 19:49:10"
